,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,600050.XSHG,600050,中国联通,XSHG,2015-01-05,4.95,4.95,4.97,5.39,4.91,5.26,831254419,4274376158,141701,0.0392,0.9512184262,111494097064,111494097064,0.0626,28.0014,28.0014,1.4417,1,5.142
1,600050.XSHG,600050,中国联通,XSHG,2015-01-06,5.26,5.26,5.16,5.25,5.05,5.17,563469730,2905527323,91625,0.0266,0.9512184262,109586403388,109586403388,-0.0171,27.5222,27.5222,1.417,1,5.156
2,600050.XSHG,600050,中国联通,XSHG,2015-01-07,5.17,5.17,5.11,5.4,5.09,5.36,615626679,3246405536,98207,0.029,0.9512184262,113613756704,113613756704,0.0368,28.5337,28.5337,1.4691,1,5.273
3,600050.XSHG,600050,中国联通,XSHG,2015-01-08,5.36,5.36,5.38,5.38,5.02,5.04,548668471,2829286069,104336,0.0259,0.9512184262,106830845856,106830845856,-0.0597,26.8302,26.8302,1.3814,1,5.157
4,600050.XSHG,600050,中国联通,XSHG,2015-01-09,5.04,5.04,5,5.22,4.97,4.98,514900911,2617789311,86706,0.0243,0.9512184262,105559050072,105559050072,-0.0119,26.5108,26.5108,1.3649,1,5.084
5,600050.XSHG,600050,中国联通,XSHG,2015-01-12,4.98,4.98,4.97,5.06,4.76,4.85,410938272,2012298500,78669,0.0194,0.9512184262,102803492540,102803492540,-0.0261,25.8187,25.8187,1.3293,1,4.897
6,600050.XSHG,600050,中国联通,XSHG,2015-01-13,4.85,4.85,4.81,4.9,4.79,4.85,209982807,1018540715,34396,0.0099,0.9512184262,102803492540,102803492540,0,25.8187,25.8187,1.3293,1,4.851
7,600050.XSHG,600050,中国联通,XSHG,2015-01-14,4.85,4.85,4.84,4.89,4.74,4.77,232159883,1118286001,39467,0.011,0.9512184262,101107764828,101107764828,-0.0165,25.3929,25.3929,1.3074,1,4.817
8,600050.XSHG,600050,中国联通,XSHG,2015-01-15,4.77,4.77,4.78,4.98,4.75,4.97,303983308,1477892646,49192,0.0143,0.9512184262,105347084108,105347084108,0.0419,26.4576,26.4576,1.3622,1,4.862
9,600050.XSHG,600050,中国联通,XSHG,2015-01-16,4.97,4.97,4.99,5.05,4.94,5.03,263942030,1321260965,47942,0.0125,0.9512184262,106618879892,106618879892,0.0121,26.777,26.777,1.3786,1,5.006
10,600050.XSHG,600050,中国联通,XSHG,2015-01-19,5.03,5.03,4.74,4.85,4.53,4.54,444211472,2073733830,91096,0.021,0.9512184262,96232547656,96232547656,-0.0974,24.1685,24.1685,1.2443,1,4.668
11,600050.XSHG,600050,中国联通,XSHG,2015-01-20,4.54,4.54,4.58,4.69,4.51,4.62,290367363,1336615749,55547,0.0137,0.9512184262,97928275368,97928275368,0.0176,24.5944,24.5944,1.2663,1,4.603
12,600050.XSHG,600050,中国联通,XSHG,2015-01-21,4.62,4.62,4.65,4.85,4.62,4.8,335121596,1585277635,59877,0.0158,0.9512184262,101743662720,101743662720,0.039,25.5526,25.5526,1.3156,1,4.73
13,600050.XSHG,600050,中国联通,XSHG,2015-01-22,4.8,4.8,4.81,4.84,4.73,4.81,223912816,1072077089,38851,0.0106,0.9512184262,101955628684,101955628684,0.0021,25.6058,25.6058,1.3183,1,4.788
14,600050.XSHG,600050,中国联通,XSHG,2015-01-23,4.81,4.81,4.81,4.9,4.76,4.79,250063517,1207768135,43601,0.0118,0.9512184262,101531696756,101531696756,-0.0042,25.4993,25.4993,1.3129,1,4.83
15,600050.XSHG,600050,中国联通,XSHG,2015-01-26,4.79,4.79,4.78,4.84,4.75,4.82,170142815,814861200,28490,0.008,0.9512184262,102167594648,102167594648,0.0063,25.659,25.659,1.3211,1,4.789
16,600050.XSHG,600050,中国联通,XSHG,2015-01-27,4.82,4.82,4.83,4.83,4.59,4.72,289210758,1362121208,55753,0.0136,0.9512184262,100047935008,100047935008,-0.0207,25.1267,25.1267,1.2937,1,4.71
17,600050.XSHG,600050,中国联通,XSHG,2015-01-28,4.72,4.72,4.67,4.69,4.61,4.63,185397414,861023619,38321,0.0087,0.9512184262,98140241332,98140241332,-0.0191,24.6476,24.6476,1.269,1,4.644
