,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,turnoverValue,dealAmount,turnoverRate,accumAdjFactor,negMarketValue,marketValue,chgPct,PE,PE1,PB,isOpen,vwap
0,601231.XSHG,601231,环旭电子,XSHG,2015-01-05,30.03,30.03,30.06,30.06,29.27,29.72,2241189,66336510,5490,0.021,0.4704568684,3174096000.0,32334224398.8,-0.0103,46.0999,46.0999,5.1113,1,29.599
1,601231.XSHG,601231,环旭电子,XSHG,2015-01-06,29.72,29.72,29.72,30.55,29.45,30.4,3302471,99443850,4247,0.0309,0.4704568684,3246720000.0,33074038416.0,0.0229,47.1547,47.1547,5.2282,1,30.112
2,601231.XSHG,601231,环旭电子,XSHG,2015-01-07,30.4,30.4,30.06,30.47,29.41,29.83,2497904,74531526,4930,0.0234,0.4704568684,3185844000.0,32453900195.7,-0.0188,46.2706,46.2706,5.1302,1,29.838
3,601231.XSHG,601231,环旭电子,XSHG,2015-01-08,29.83,29.83,30.0,30.88,29.46,30.67,3519337,106471602,5731,0.033,0.4704568684,3275556000.0,33367788099.3,0.0282,47.5735,47.5735,5.2746,1,30.253
4,601231.XSHG,601231,环旭电子,XSHG,2015-01-09,30.67,30.67,30.65,32.98,30.6,31.91,6308672,202723456,9045,0.0591,0.4704568684,3407988000.0,34716860718.9,0.0404,49.4969,49.4969,5.4879,1,32.134
5,601231.XSHG,601231,环旭电子,XSHG,2015-01-12,31.91,31.91,31.79,33.18,31.65,32.38,3837737,124961080,6416,0.0359,0.4704568684,3458184000.0,35228202760.2,0.0147,50.226,50.226,5.5687,1,32.561
6,601231.XSHG,601231,环旭电子,XSHG,2015-01-13,32.38,32.38,32.55,32.98,31.7,32.64,2752244,89934989,4149,0.0258,0.4704568684,3485952000.0,35511072825.6,0.008,50.6293,50.6293,5.6134,1,32.677
7,601231.XSHG,601231,环旭电子,XSHG,2015-01-14,32.64,32.64,32.64,33.0,32.12,32.77,2628038,85678122,3903,0.0246,0.4704568684,3499836000.0,35652507858.3,0.004,50.8309,50.8309,5.6358,1,32.602
8,601231.XSHG,601231,环旭电子,XSHG,2015-01-15,32.77,32.77,32.74,32.95,31.78,31.96,2177777,70249757,3358,0.0204,0.4704568684,3413328000.0,34771258808.4,-0.0247,49.5745,49.5745,5.4965,1,32.258
9,601231.XSHG,601231,环旭电子,XSHG,2015-01-16,31.96,31.96,31.6,32.31,31.6,32.21,2158384,68951559,3437,0.0202,0.4704568684,3440028000.0,35043249255.9,0.0078,49.9623,49.9623,5.5395,1,31.946
10,601231.XSHG,601231,环旭电子,XSHG,2015-01-19,32.21,32.21,31.0,32.77,30.72,31.06,3076099,97832289,4892,0.0288,0.4704568684,3317208000.0,33792093197.4,-0.0357,48.1785,48.1785,5.3417,1,31.804
11,601231.XSHG,601231,环旭电子,XSHG,2015-01-20,31.06,31.06,31.31,32.17,30.98,32.0,2887218,91494555,4392,0.027,0.4704568684,3417600000.0,34814777280.0,0.0303,49.6365,49.6365,5.5034,1,31.69
12,601231.XSHG,601231,环旭电子,XSHG,2015-01-21,32.0,32.0,32.02,33.99,32.01,33.76,5447452,179965735,5790,0.051,0.4704568684,3605568000.0,36729590030.4,0.055,52.3666,52.3666,5.8061,1,33.037
